user_id,user_name,department,competency_id,competency_name,domain,latest_score,gap_level,priority,last_assessed
7,Ramesh Agarwal,MOSPI Field Operations,16,Cybersecurity,Digital Governance,76.2,minor,3,2026-03-22
8,Kavita Saxena,NITI Aayog,4,Data Analysis,Statistics,82.7,minor,3,2026-07-07
8,Kavita Saxena,NITI Aayog,8,SDG Indicators,Statistics,79.6,minor,3,2026-07-14
8,Kavita Saxena,NITI Aayog,13,Data Visualization,Technical,93.3,proficient,4,2026-03-11
8,Kavita Saxena,NITI Aayog,14,Machine Learning Basics,Technical,94.5,proficient,4,2026-07-03
8,Kavita Saxena,NITI Aayog,17,Data Privacy & PDPB,Digital Governance,100.0,proficient,4,2026-07-25
8,Kavita Saxena,NITI Aayog,19,Leadership,Behavioural,96.1,proficient,4,2026-07-18
9,Vikram Sharma,CSO,2,Survey Design,Statistics,14.1,critical,1,2026-03-20
9,Vikram Sharma,CSO,3,Sampling Techniques,Statistics,34.8,critical,1,2026-05-06
9,Vikram Sharma,CSO,9,Python Programming,Technical,34.7,critical,1,2026-08-17
9,Vikram Sharma,CSO,10,R Programming,Technical,15.3,critical,1,2026-06-11
9,Vikram Sharma,CSO,15,Cloud Computing,Technical,47.2,critical,1,2026-04-06
9,Vikram Sharma,CSO,16,Cybersecurity,Digital Governance,39.5,critical,1,2026-03-28
10,Naresh Joshi,CRS,2,Survey Design,Statistics,71.7,minor,3,2026-05-29
10,Naresh Joshi,CRS,8,SDG Indicators,Statistics,77.1,minor,3,2026-03-24
10,Naresh Joshi,CRS,15,Cloud Computing,Technical,52.8,moderate,2,2026-08-08
10,Naresh Joshi,CRS,17,Data Privacy & PDPB,Digital Governance,45.0,critical,1,2026-06-08
11,Geeta Singh,NSSTA,5,National Accounts,Statistics,59.3,moderate,2,2026-08-09
11,Geeta Singh,NSSTA,19,Leadership,Behavioural,76.9,minor,3,2026-07-30
11,Geeta Singh,NSSTA,22,Change Management,Behavioural,48.1,critical,1,2026-07-31
12,Pushpa Saxena,NITI Aayog,1,Statistical Methods,Statistics,83.9,minor,3,2026-05-19
12,Pushpa Saxena,NITI Aayog,3,Sampling Techniques,Statistics,60.3,moderate,2,2026-05-06
12,Pushpa Saxena,NITI Aayog,10,R Programming,Technical,56.5,moderate,2,2026-06-14
12,Pushpa Saxena,NITI Aayog,12,GIS & Mapping,Technical,47.5,critical,1,2026-03-08
12,Pushpa Saxena,NITI Aayog,14,Machine Learning Basics,Technical,74.6,minor,3,2026-04-16
12,Pushpa Saxena,NITI Aayog,17,Data Privacy & PDPB,Digital Governance,98.6,proficient,4,2026-04-02
12,Pushpa Saxena,NITI Aayog,19,Leadership,Behavioural,47.1,critical,1,2026-05-11
12,Pushpa Saxena,NITI Aayog,22,Change Management,Behavioural,95.3,proficient,4,2026-07-24
13,Sanjay Sharma,DGET,6,Price Statistics,Statistics,75.2,minor,3,2026-08-26
13,Sanjay Sharma,DGET,7,Labour Statistics,Statistics,29.8,critical,1,2026-05-29
13,Sanjay Sharma,DGET,13,Data Visualization,Technical,48.5,critical,1,2026-05-29
13,Sanjay Sharma,DGET,14,Machine Learning Basics,Technical,38.7,critical,1,2026-05-13
13,Sanjay Sharma,DGET,17,Data Privacy & PDPB,Digital Governance,36.1,critical,1,2026-08-01
14,Vinod Mishra,Ministry of Finance,1,Statistical Methods,Statistics,94.2,proficient,4,2026-06-20
14,Vinod Mishra,Ministry of Finance,4,Data Analysis,Statistics,74.9,minor,3,2026-07-08
14,Vinod Mishra,Ministry of Finance,11,SQL & Databases,Technical,100.0,proficient,4,2026-03-28
14,Vinod Mishra,Ministry of Finance,21,Communication Skills,Behavioural,96.6,proficient,4,2026-08-04
15,Manoj Patel,NITI Aayog,2,Survey Design,Statistics,73.0,minor,3,2026-04-20
15,Manoj Patel,NITI Aayog,4,Data Analysis,Statistics,38.1,critical,1,2026-05-15
15,Manoj Patel,NITI Aayog,8,SDG Indicators,Statistics,36.7,critical,1,2026-08-04
15,Manoj Patel,NITI Aayog,10,R Programming,Technical,67.2,moderate,2,2026-04-07
15,Manoj Patel,NITI Aayog,14,Machine Learning Basics,Technical,56.4,moderate,2,2026-04-25
16,Lata Yadav,NITI Aayog,1,Statistical Methods,Statistics,45.1,critical,1,2026-04-06
16,Lata Yadav,NITI Aayog,2,Survey Design,Statistics,36.0,critical,1,2026-08-23
16,Lata Yadav,NITI Aayog,9,Python Programming,Technical,45.6,critical,1,2026-06-24
16,Lata Yadav,NITI Aayog,12,GIS & Mapping,Technical,50.6,moderate,2,2026-08-23
16,Lata Yadav,NITI Aayog,13,Data Visualization,Technical,28.5,critical,1,2026-06-03
16,Lata Yadav,NITI Aayog,16,Cybersecurity,Digital Governance,13.8,critical,1,2026-03-24
16,Lata Yadav,NITI Aayog,21,Communication Skills,Behavioural,43.9,critical,1,2026-04-23
17,Meena Verma,DGET,12,GIS & Mapping,Technical,33.7,critical,1,2026-07-16
17,Meena Verma,DGET,13,Data Visualization,Technical,45.9,critical,1,2026-06-11
17,Meena Verma,DGET,14,Machine Learning Basics,Technical,24.3,critical,1,2026-08-12
18,Pushpa Shah,NITI Aayog,3,Sampling Techniques,Statistics,74.1,minor,3,2026-06-04
18,Pushpa Shah,NITI Aayog,11,SQL & Databases,Technical,98.4,proficient,4,2026-03-28
18,Pushpa Shah,NITI Aayog,22,Change Management,Behavioural,94.0,proficient,4,2026-05-31
19,Geeta Pandey,MOSPI Field Operations,1,Statistical Methods,Statistics,66.4,moderate,2,2026-04-19
19,Geeta Pandey,MOSPI Field Operations,2,Survey Design,Statistics,55.2,moderate,2,2026-07-12
19,Geeta Pandey,MOSPI Field Operations,5,National Accounts,Statistics,40.3,critical,1,2026-07-16
19,Geeta Pandey,MOSPI Field Operations,6,Price Statistics,Statistics,33.5,critical,1,2026-05-30
19,Geeta Pandey,MOSPI Field Operations,15,Cloud Computing,Technical,62.4,moderate,2,2026-06-26
19,Geeta Pandey,MOSPI Field Operations,19,Leadership,Behavioural,23.1,critical,1,2026-07-19
19,Geeta Pandey,MOSPI Field Operations,22,Change Management,Behavioural,50.6,moderate,2,2026-06-01
20,Manoj Shah,NITI Aayog,3,Sampling Techniques,Statistics,100.0,proficient,4,2026-07-03
20,Manoj Shah,NITI Aayog,10,R Programming,Technical,100.0,proficient,4,2026-05-09
20,Manoj Shah,NITI Aayog,11,SQL & Databases,Technical,86.0,proficient,4,2026-04-13
20,Manoj Shah,NITI Aayog,12,GIS & Mapping,Technical,81.0,minor,3,2026-06-14
20,Manoj Shah,NITI Aayog,14,Machine Learning Basics,Technical,89.6,proficient,4,2026-04-22
20,Manoj Shah,NITI Aayog,15,Cloud Computing,Technical,100.0,proficient,4,2026-04-24
20,Manoj Shah,NITI Aayog,17,Data Privacy & PDPB,Digital Governance,63.8,moderate,2,2026-07-30
20,Manoj Shah,NITI Aayog,21,Communication Skills,Behavioural,62.1,moderate,2,2026-04-07
21,Deepak Patel,NSSTA,6,Price Statistics,Statistics,100.0,proficient,4,2026-03-28
21,Deepak Patel,NSSTA,8,SDG Indicators,Statistics,80.6,minor,3,2026-04-10
21,Deepak Patel,NSSTA,10,R Programming,Technical,60.7,moderate,2,2026-03-23
21,Deepak Patel,NSSTA,11,SQL & Databases,Technical,64.2,moderate,2,2026-07-20
22,Radha Kumar,CRS,1,Statistical Methods,Statistics,83.7,minor,3,2026-03-27
22,Radha Kumar,CRS,2,Survey Design,Statistics,74.3,minor,3,2026-08-14
22,Radha Kumar,CRS,3,Sampling Techniques,Statistics,44.6,critical,1,2026-03-21
23,Anita Singh,National Statistical Office,2,Survey Design,Statistics,79.4,minor,3,2026-06-05
23,Anita Singh,National Statistical Office,6,Price Statistics,Statistics,94.4,proficient,4,2026-06-12
23,Anita Singh,National Statistical Office,7,Labour Statistics,Statistics,63.9,moderate,2,2026-05-07
23,Anita Singh,National Statistical Office,14,Machine Learning Basics,Technical,85.1,proficient,4,2026-06-30
23,Anita Singh,National Statistical Office,15,Cloud Computing,Technical,83.5,minor,3,2026-05-09
23,Anita Singh,National Statistical Office,16,Cybersecurity,Digital Governance,93.1,proficient,4,2026-07-15
23,Anita Singh,National Statistical Office,20,Project Management,Behavioural,86.7,proficient,4,2026-04-27
23,Anita Singh,National Statistical Office,21,Communication Skills,Behavioural,97.3,proficient,4,2026-04-28
24,Girish Nair,MOSPI Field Operations,1,Statistical Methods,Statistics,70.5,minor,3,2026-04-12
24,Girish Nair,MOSPI Field Operations,4,Data Analysis,Statistics,100.0,proficient,4,2026-04-26
24,Girish Nair,MOSPI Field Operations,10,R Programming,Technical,98.6,proficient,4,2026-05-09
24,Girish Nair,MOSPI Field Operations,14,Machine Learning Basics,Technical,73.7,minor,3,2026-06-08
24,Girish Nair,MOSPI Field Operations,16,Cybersecurity,Digital Governance,72.9,minor,3,2026-04-13
24,Girish Nair,MOSPI Field Operations,18,Digital Signatures,Digital Governance,86.3,proficient,4,2026-07-31
24,Girish Nair,MOSPI Field Operations,21,Communication Skills,Behavioural,82.4,minor,3,2026-05-21
25,Rajiv Mishra,DGET,5,National Accounts,Statistics,56.8,moderate,2,2026-05-18
25,Rajiv Mishra,DGET,11,SQL & Databases,Technical,74.5,minor,3,2026-07-26
25,Rajiv Mishra,DGET,15,Cloud Computing,Technical,60.4,moderate,2,2026-04-10
25,Rajiv Mishra,DGET,17,Data Privacy & PDPB,Digital Governance,81.3,minor,3,2026-04-03
25,Rajiv Mishra,DGET,20,Project Management,Behavioural,20.6,critical,1,2026-04-05
25,Rajiv Mishra,DGET,22,Change Management,Behavioural,98.5,proficient,4,2026-04-02
26,Rekha Yadav,CRS,1,Statistical Methods,Statistics,45.7,critical,1,2026-07-06
26,Rekha Yadav,CRS,2,Survey Design,Statistics,83.3,minor,3,2026-04-11
26,Rekha Yadav,CRS,4,Data Analysis,Statistics,97.8,proficient,4,2026-03-12
26,Rekha Yadav,CRS,6,Price Statistics,Statistics,55.8,moderate,2,2026-06-20
26,Rekha Yadav,CRS,7,Labour Statistics,Statistics,78.2,minor,3,2026-07-14
26,Rekha Yadav,CRS,8,SDG Indicators,Statistics,58.0,moderate,2,2026-08-17
26,Rekha Yadav,CRS,15,Cloud Computing,Technical,100.0,proficient,4,2026-06-12
26,Rekha Yadav,CRS,19,Leadership,Behavioural,62.2,moderate,2,2026-05-07
27,Rajesh Singh,Ministry of Statistics & PI,18,Digital Signatures,Digital Governance,44.6,critical,1,2026-07-28
27,Rajesh Singh,Ministry of Statistics & PI,19,Leadership,Behavioural,10.0,critical,1,2026-06-20
27,Rajesh Singh,Ministry of Statistics & PI,22,Change Management,Behavioural,80.0,minor,3,2026-03-18
28,Vikram Shah,MOSPI Field Operations,8,SDG Indicators,Statistics,60.8,moderate,2,2026-05-20
28,Vikram Shah,MOSPI Field Operations,19,Leadership,Behavioural,53.5,moderate,2,2026-03-11
28,Vikram Shah,MOSPI Field Operations,20,Project Management,Behavioural,73.1,minor,3,2026-03-22
29,Girish Yadav,DGET,2,Survey Design,Statistics,30.1,critical,1,2026-04-09
29,Girish Yadav,DGET,7,Labour Statistics,Statistics,58.9,moderate,2,2026-04-09
29,Girish Yadav,DGET,10,R Programming,Technical,74.8,minor,3,2026-05-08
29,Girish Yadav,DGET,11,SQL & Databases,Technical,69.7,moderate,2,2026-06-24
29,Girish Yadav,DGET,15,Cloud Computing,Technical,24.2,critical,1,2026-05-15
29,Girish Yadav,DGET,16,Cybersecurity,Digital Governance,50.3,moderate,2,2026-07-19
29,Girish Yadav,DGET,19,Leadership,Behavioural,45.7,critical,1,2026-05-07
29,Girish Yadav,DGET,22,Change Management,Behavioural,21.2,critical,1,2026-04-28
30,Ramesh Srivastava,Ministry of Finance,3,Sampling Techniques,Statistics,91.8,proficient,4,2026-06-27
30,Ramesh Srivastava,Ministry of Finance,4,Data Analysis,Statistics,56.9,moderate,2,2026-06-14
30,Ramesh Srivastava,Ministry of Finance,5,National Accounts,Statistics,55.7,moderate,2,2026-03-30
30,Ramesh Srivastava,Ministry of Finance,6,Price Statistics,Statistics,70.2,minor,3,2026-07-07
30,Ramesh Srivastava,Ministry of Finance,11,SQL & Databases,Technical,73.5,minor,3,2026-06-25
30,Ramesh Srivastava,Ministry of Finance,13,Data Visualization,Technical,63.9,moderate,2,2026-06-15
30,Ramesh Srivastava,Ministry of Finance,16,Cybersecurity,Digital Governance,60.0,moderate,2,2026-06-30
31,Shobha Pandey,CSO,3,Sampling Techniques,Statistics,43.4,critical,1,2026-03-11
31,Shobha Pandey,CSO,12,GIS & Mapping,Technical,62.7,moderate,2,2026-04-06
31,Shobha Pandey,CSO,15,Cloud Computing,Technical,68.3,moderate,2,2026-05-18
31,Shobha Pandey,CSO,17,Data Privacy & PDPB,Digital Governance,48.1,critical,1,2026-08-09
31,Shobha Pandey,CSO,19,Leadership,Behavioural,100.0,proficient,4,2026-05-20
31,Shobha Pandey,CSO,20,Project Management,Behavioural,72.6,minor,3,2026-07-12
31,Shobha Pandey,CSO,21,Communication Skills,Behavioural,25.6,critical,1,2026-03-06
31,Shobha Pandey,CSO,22,Change Management,Behavioural,41.0,critical,1,2026-03-13
32,Asha Verma,Ministry of Finance,5,National Accounts,Statistics,100.0,proficient,4,2026-08-12
32,Asha Verma,Ministry of Finance,12,GIS & Mapping,Technical,100.0,proficient,4,2026-04-18
32,Asha Verma,Ministry of Finance,14,Machine Learning Basics,Technical,60.8,moderate,2,2026-07-06
32,Asha Verma,Ministry of Finance,21,Communication Skills,Behavioural,74.1,minor,3,2026-08-02
33,Suresh Sharma,NITI Aayog,5,National Accounts,Statistics,27.2,critical,1,2026-04-07
33,Suresh Sharma,NITI Aayog,8,SDG Indicators,Statistics,19.4,critical,1,2026-03-16
33,Suresh Sharma,NITI Aayog,9,Python Programming,Technical,23.4,critical,1,2026-03-16
33,Suresh Sharma,NITI Aayog,12,GIS & Mapping,Technical,44.3,critical,1,2026-07-28
33,Suresh Sharma,NITI Aayog,15,Cloud Computing,Technical,60.3,moderate,2,2026-07-01
33,Suresh Sharma,NITI Aayog,22,Change Management,Behavioural,18.6,critical,1,2026-08-07
34,Dinesh Mehta,CSO,2,Survey Design,Statistics,72.6,minor,3,2026-05-25
34,Dinesh Mehta,CSO,6,Price Statistics,Statistics,85.5,proficient,4,2026-08-09
34,Dinesh Mehta,CSO,8,SDG Indicators,Statistics,69.5,moderate,2,2026-03-21
34,Dinesh Mehta,CSO,9,Python Programming,Technical,93.9,proficient,4,2026-04-11
34,Dinesh Mehta,CSO,10,R Programming,Technical,57.2,moderate,2,2026-07-02
34,Dinesh Mehta,CSO,14,Machine Learning Basics,Technical,70.0,minor,3,2026-07-25
34,Dinesh Mehta,CSO,21,Communication Skills,Behavioural,97.1,proficient,4,2026-06-25
35,Naresh Kumar,MOSPI Field Operations,2,Survey Design,Statistics,55.9,moderate,2,2026-05-27
35,Naresh Kumar,MOSPI Field Operations,3,Sampling Techniques,Statistics,32.5,critical,1,2026-04-27
35,Naresh Kumar,MOSPI Field Operations,7,Labour Statistics,Statistics,63.5,moderate,2,2026-06-12
35,Naresh Kumar,MOSPI Field Operations,20,Project Management,Behavioural,35.4,critical,1,2026-07-15
35,Naresh Kumar,MOSPI Field Operations,21,Communication Skills,Behavioural,66.7,moderate,2,2026-05-23
35,Naresh Kumar,MOSPI Field Operations,22,Change Management,Behavioural,66.1,moderate,2,2026-07-10
36,Radha Patel,MOSPI Field Operations,2,Survey Design,Statistics,37.9,critical,1,2026-05-07
36,Radha Patel,MOSPI Field Operations,11,SQL & Databases,Technical,38.7,critical,1,2026-05-27
36,Radha Patel,MOSPI Field Operations,12,GIS & Mapping,Technical,31.8,critical,1,2026-06-18
36,Radha Patel,MOSPI Field Operations,14,Machine Learning Basics,Technical,31.4,critical,1,2026-06-28
37,Sunita Sharma,Ministry of Finance,5,National Accounts,Statistics,100.0,proficient,4,2026-07-08
37,Sunita Sharma,Ministry of Finance,6,Price Statistics,Statistics,87.9,proficient,4,2026-05-19
37,Sunita Sharma,Ministry of Finance,12,GIS & Mapping,Technical,45.0,critical,1,2026-08-24
37,Sunita Sharma,Ministry of Finance,18,Digital Signatures,Digital Governance,100.0,proficient,4,2026-03-27
38,Mukesh Singh,National Statistical Office,1,Statistical Methods,Statistics,10.0,critical,1,2026-03-18
38,Mukesh Singh,National Statistical Office,14,Machine Learning Basics,Technical,30.7,critical,1,2026-08-11
38,Mukesh Singh,National Statistical Office,16,Cybersecurity,Digital Governance,32.2,critical,1,2026-06-25
38,Mukesh Singh,National Statistical Office,17,Data Privacy & PDPB,Digital Governance,59.7,moderate,2,2026-04-10
38,Mukesh Singh,National Statistical Office,18,Digital Signatures,Digital Governance,23.6,critical,1,2026-05-27
38,Mukesh Singh,National Statistical Office,20,Project Management,Behavioural,48.4,critical,1,2026-08-08
38,Mukesh Singh,National Statistical Office,21,Communication Skills,Behavioural,43.4,critical,1,2026-05-07
38,Mukesh Singh,National Statistical Office,22,Change Management,Behavioural,74.1,minor,3,2026-03-07
39,Kavita Pillai,Ministry of Agriculture,2,Survey Design,Statistics,78.8,minor,3,2026-07-18
39,Kavita Pillai,Ministry of Agriculture,8,SDG Indicators,Statistics,57.7,moderate,2,2026-08-13
39,Kavita Pillai,Ministry of Agriculture,17,Data Privacy & PDPB,Digital Governance,52.3,moderate,2,2026-08-13
40,Sunita Pandey,CSO,6,Price Statistics,Statistics,47.6,critical,1,2026-03-09
40,Sunita Pandey,CSO,8,SDG Indicators,Statistics,33.5,critical,1,2026-06-10
40,Sunita Pandey,CSO,13,Data Visualization,Technical,68.5,moderate,2,2026-04-13
40,Sunita Pandey,CSO,19,Leadership,Behavioural,51.0,moderate,2,2026-07-04
40,Sunita Pandey,CSO,22,Change Management,Behavioural,57.1,moderate,2,2026-08-11
41,Ravi Tiwari,CRS,3,Sampling Techniques,Statistics,42.4,critical,1,2026-04-12
41,Ravi Tiwari,CRS,5,National Accounts,Statistics,54.0,moderate,2,2026-04-11
41,Ravi Tiwari,CRS,8,SDG Indicators,Statistics,17.0,critical,1,2026-06-01
41,Ravi Tiwari,CRS,9,Python Programming,Technical,61.1,moderate,2,2026-08-29
41,Ravi Tiwari,CRS,10,R Programming,Technical,35.7,critical,1,2026-08-05
41,Ravi Tiwari,CRS,13,Data Visualization,Technical,83.0,minor,3,2026-07-20
41,Ravi Tiwari,CRS,20,Project Management,Behavioural,33.5,critical,1,2026-08-26
42,Suresh Singh,CSO,5,National Accounts,Statistics,41.4,critical,1,2026-05-12
42,Suresh Singh,CSO,9,Python Programming,Technical,28.3,critical,1,2026-05-17
42,Suresh Singh,CSO,10,R Programming,Technical,46.5,critical,1,2026-04-02
42,Suresh Singh,CSO,16,Cybersecurity,Digital Governance,86.1,proficient,4,2026-07-29
43,Vikram Yadav,MOSPI Field Operations,5,National Accounts,Statistics,39.4,critical,1,2026-03-11
43,Vikram Yadav,MOSPI Field Operations,10,R Programming,Technical,98.3,proficient,4,2026-07-10
43,Vikram Yadav,MOSPI Field Operations,14,Machine Learning Basics,Technical,100.0,proficient,4,2026-05-02
43,Vikram Yadav,MOSPI Field Operations,20,Project Management,Behavioural,100.0,proficient,4,2026-05-24
43,Vikram Yadav,MOSPI Field Operations,21,Communication Skills,Behavioural,48.7,critical,1,2026-04-07
44,Rajesh Nair,National Statistical Office,3,Sampling Techniques,Statistics,82.6,minor,3,2026-04-18
44,Rajesh Nair,National Statistical Office,5,National Accounts,Statistics,59.3,moderate,2,2026-04-10
44,Rajesh Nair,National Statistical Office,10,R Programming,Technical,57.5,moderate,2,2026-05-10
44,Rajesh Nair,National Statistical Office,14,Machine Learning Basics,Technical,15.7,critical,1,2026-06-01
44,Rajesh Nair,National Statistical Office,16,Cybersecurity,Digital Governance,54.5,moderate,2,2026-08-05
44,Rajesh Nair,National Statistical Office,22,Change Management,Behavioural,30.0,critical,1,2026-06-09
45,Meena Joshi,Ministry of Agriculture,1,Statistical Methods,Statistics,58.4,moderate,2,2026-07-25
45,Meena Joshi,Ministry of Agriculture,4,Data Analysis,Statistics,80.9,minor,3,2026-05-29
45,Meena Joshi,Ministry of Agriculture,8,SDG Indicators,Statistics,69.6,moderate,2,2026-05-12
45,Meena Joshi,Ministry of Agriculture,9,Python Programming,Technical,84.7,minor,3,2026-06-06
45,Meena Joshi,Ministry of Agriculture,17,Data Privacy & PDPB,Digital Governance,84.8,minor,3,2026-08-15
45,Meena Joshi,Ministry of Agriculture,22,Change Management,Behavioural,79.1,minor,3,2026-08-03
46,Manoj Shah,MOSPI Field Operations,1,Statistical Methods,Statistics,47.5,critical,1,2026-05-23
46,Manoj Shah,MOSPI Field Operations,2,Survey Design,Statistics,70.4,minor,3,2026-04-13
46,Manoj Shah,MOSPI Field Operations,4,Data Analysis,Statistics,65.9,moderate,2,2026-05-06
46,Manoj Shah,MOSPI Field Operations,11,SQL & Databases,Technical,63.6,moderate,2,2026-05-09
46,Manoj Shah,MOSPI Field Operations,21,Communication Skills,Behavioural,30.5,critical,1,2026-08-16
47,Amit Kumar,NSSTA,4,Data Analysis,Statistics,41.0,critical,1,2026-04-19
47,Amit Kumar,NSSTA,6,Price Statistics,Statistics,47.5,critical,1,2026-03-13
47,Amit Kumar,NSSTA,7,Labour Statistics,Statistics,43.8,critical,1,2026-04-07
47,Amit Kumar,NSSTA,11,SQL & Databases,Technical,36.2,critical,1,2026-07-17
47,Amit Kumar,NSSTA,12,GIS & Mapping,Technical,46.7,critical,1,2026-06-13
47,Amit Kumar,NSSTA,15,Cloud Computing,Technical,57.9,moderate,2,2026-03-23
47,Amit Kumar,NSSTA,18,Digital Signatures,Digital Governance,66.1,moderate,2,2026-06-04
48,Asha Nair,National Statistical Office,5,National Accounts,Statistics,90.3,proficient,4,2026-04-15
48,Asha Nair,National Statistical Office,6,Price Statistics,Statistics,100.0,proficient,4,2026-03-18
48,Asha Nair,National Statistical Office,10,R Programming,Technical,87.6,proficient,4,2026-06-25
48,Asha Nair,National Statistical Office,16,Cybersecurity,Digital Governance,97.6,proficient,4,2026-04-14
48,Asha Nair,National Statistical Office,18,Digital Signatures,Digital Governance,57.7,moderate,2,2026-07-21
48,Asha Nair,National Statistical Office,21,Communication Skills,Behavioural,98.3,proficient,4,2026-04-30
48,Asha Nair,National Statistical Office,22,Change Management,Behavioural,85.9,proficient,4,2026-06-19
49,Amit Agarwal,NITI Aayog,4,Data Analysis,Statistics,70.2,minor,3,2026-03-29
49,Amit Agarwal,NITI Aayog,8,SDG Indicators,Statistics,77.9,minor,3,2026-04-02
49,Amit Agarwal,NITI Aayog,14,Machine Learning Basics,Technical,32.1,critical,1,2026-06-04
49,Amit Agarwal,NITI Aayog,21,Communication Skills,Behavioural,59.4,moderate,2,2026-07-11
50,Usha Agarwal,CRS,4,Data Analysis,Statistics,74.7,minor,3,2026-04-18
50,Usha Agarwal,CRS,6,Price Statistics,Statistics,49.6,critical,1,2026-03-18
50,Usha Agarwal,CRS,9,Python Programming,Technical,60.9,moderate,2,2026-05-08
50,Usha Agarwal,CRS,10,R Programming,Technical,100.0,proficient,4,2026-04-07
50,Usha Agarwal,CRS,11,SQL & Databases,Technical,100.0,proficient,4,2026-06-30
50,Usha Agarwal,CRS,17,Data Privacy & PDPB,Digital Governance,94.9,proficient,4,2026-03-23
50,Usha Agarwal,CRS,20,Project Management,Behavioural,62.6,moderate,2,2026-05-21
51,Ramesh Nair,Ministry of Agriculture,7,Labour Statistics,Statistics,92.7,proficient,4,2026-06-06
51,Ramesh Nair,Ministry of Agriculture,9,Python Programming,Technical,73.3,minor,3,2026-06-29
51,Ramesh Nair,Ministry of Agriculture,11,SQL & Databases,Technical,100.0,proficient,4,2026-08-19
51,Ramesh Nair,Ministry of Agriculture,14,Machine Learning Basics,Technical,70.6,minor,3,2026-03-25
51,Ramesh Nair,Ministry of Agriculture,16,Cybersecurity,Digital Governance,65.5,moderate,2,2026-03-19
51,Ramesh Nair,Ministry of Agriculture,22,Change Management,Behavioural,89.2,proficient,4,2026-09-01
52,Pooja Srivastava,NSSTA,3,Sampling Techniques,Statistics,74.8,minor,3,2026-08-15
52,Pooja Srivastava,NSSTA,4,Data Analysis,Statistics,96.2,proficient,4,2026-05-12
52,Pooja Srivastava,NSSTA,8,SDG Indicators,Statistics,100.0,proficient,4,2026-05-26
