assessment_id,user_id,user_name,department,competency_id,competency_name,domain,score,total_questions,correct_answers,difficulty_level,gap_level,time_taken_sec,assessment_date
82,16,Lata Yadav,NITI Aayog,12,GIS & Mapping,Technical,50.6,8,4,intermediate,moderate,638,2026-08-23
83,16,Lata Yadav,NITI Aayog,9,Python Programming,Technical,45.6,7,2,advanced,critical,799,2026-06-24
84,17,Meena Verma,DGET,12,GIS & Mapping,Technical,33.7,10,2,intermediate,critical,814,2026-07-16
85,17,Meena Verma,DGET,14,Machine Learning Basics,Technical,24.3,9,1,beginner,critical,989,2026-08-12
86,17,Meena Verma,DGET,13,Data Visualization,Technical,45.9,8,4,beginner,critical,721,2026-06-11
87,18,Pushpa Shah,NITI Aayog,3,Sampling Techniques,Statistics,74.1,10,5,beginner,minor,1029,2026-06-04
88,18,Pushpa Shah,NITI Aayog,11,SQL & Databases,Technical,98.4,8,4,advanced,proficient,842,2026-03-28
89,18,Pushpa Shah,NITI Aayog,22,Change Management,Behavioural,94.0,5,4,advanced,proficient,951,2026-05-31
90,19,Geeta Pandey,MOSPI Field Operations,22,Change Management,Behavioural,50.6,5,3,advanced,moderate,870,2026-06-01
91,19,Geeta Pandey,MOSPI Field Operations,6,Price Statistics,Statistics,33.5,9,2,advanced,critical,1041,2026-05-30
92,19,Geeta Pandey,MOSPI Field Operations,1,Statistical Methods,Statistics,66.4,7,5,beginner,moderate,401,2026-04-19
93,19,Geeta Pandey,MOSPI Field Operations,5,National Accounts,Statistics,40.3,7,2,beginner,critical,173,2026-07-16
94,19,Geeta Pandey,MOSPI Field Operations,15,Cloud Computing,Technical,62.4,8,5,intermediate,moderate,361,2026-06-26
95,19,Geeta Pandey,MOSPI Field Operations,2,Survey Design,Statistics,55.2,6,4,intermediate,moderate,1125,2026-07-12
96,19,Geeta Pandey,MOSPI Field Operations,19,Leadership,Behavioural,23.1,5,1,beginner,critical,1045,2026-07-19
97,20,Manoj Shah,NITI Aayog,15,Cloud Computing,Technical,100.0,10,10,beginner,proficient,860,2026-04-24
98,20,Manoj Shah,NITI Aayog,3,Sampling Techniques,Statistics,100.0,6,5,beginner,proficient,404,2026-07-03
99,20,Manoj Shah,NITI Aayog,11,SQL & Databases,Technical,86.0,9,7,intermediate,proficient,1077,2026-04-13
100,20,Manoj Shah,NITI Aayog,12,GIS & Mapping,Technical,81.0,6,7,beginner,minor,254,2026-06-14
101,20,Manoj Shah,NITI Aayog,21,Communication Skills,Behavioural,62.1,8,5,intermediate,moderate,958,2026-04-07
102,20,Manoj Shah,NITI Aayog,10,R Programming,Technical,100.0,5,6,intermediate,proficient,271,2026-05-09
103,20,Manoj Shah,NITI Aayog,17,Data Privacy & PDPB,Digital Governance,63.8,6,5,advanced,moderate,492,2026-07-30
104,20,Manoj Shah,NITI Aayog,14,Machine Learning Basics,Technical,89.6,8,8,beginner,proficient,374,2026-04-22
105,21,Deepak Patel,NSSTA,10,R Programming,Technical,60.7,7,3,intermediate,moderate,522,2026-03-23
106,21,Deepak Patel,NSSTA,6,Price Statistics,Statistics,100.0,9,7,beginner,proficient,740,2026-03-28
107,21,Deepak Patel,NSSTA,11,SQL & Databases,Technical,64.2,6,5,advanced,moderate,435,2026-07-20
108,21,Deepak Patel,NSSTA,8,SDG Indicators,Statistics,80.6,10,7,advanced,minor,811,2026-04-10
109,22,Radha Kumar,CRS,1,Statistical Methods,Statistics,83.7,7,8,beginner,minor,973,2026-03-27
110,22,Radha Kumar,CRS,3,Sampling Techniques,Statistics,44.6,10,2,intermediate,critical,713,2026-03-21
111,22,Radha Kumar,CRS,2,Survey Design,Statistics,74.3,10,5,intermediate,minor,1048,2026-08-14
112,23,Anita Singh,National Statistical Office,2,Survey Design,Statistics,79.4,9,4,intermediate,minor,773,2026-06-05
113,23,Anita Singh,National Statistical Office,6,Price Statistics,Statistics,94.4,7,8,advanced,proficient,337,2026-06-12
114,23,Anita Singh,National Statistical Office,15,Cloud Computing,Technical,83.5,6,6,beginner,minor,667,2026-05-09
115,23,Anita Singh,National Statistical Office,14,Machine Learning Basics,Technical,85.1,7,6,advanced,proficient,976,2026-06-30
116,23,Anita Singh,National Statistical Office,16,Cybersecurity,Digital Governance,93.1,6,6,advanced,proficient,760,2026-07-15
117,23,Anita Singh,National Statistical Office,20,Project Management,Behavioural,86.7,9,6,intermediate,proficient,751,2026-04-27
118,23,Anita Singh,National Statistical Office,7,Labour Statistics,Statistics,63.9,5,3,intermediate,moderate,1155,2026-05-07
119,23,Anita Singh,National Statistical Office,21,Communication Skills,Behavioural,97.3,7,4,beginner,proficient,696,2026-04-28
120,24,Girish Nair,MOSPI Field Operations,21,Communication Skills,Behavioural,82.4,6,5,advanced,minor,869,2026-05-21
121,24,Girish Nair,MOSPI Field Operations,16,Cybersecurity,Digital Governance,72.9,9,6,beginner,minor,862,2026-04-13
122,24,Girish Nair,MOSPI Field Operations,10,R Programming,Technical,98.6,7,4,intermediate,proficient,1152,2026-05-09
123,24,Girish Nair,MOSPI Field Operations,18,Digital Signatures,Digital Governance,86.3,9,8,advanced,proficient,363,2026-07-31
124,24,Girish Nair,MOSPI Field Operations,1,Statistical Methods,Statistics,70.5,5,5,intermediate,minor,814,2026-04-12
125,24,Girish Nair,MOSPI Field Operations,4,Data Analysis,Statistics,100.0,6,9,advanced,proficient,942,2026-04-26
126,24,Girish Nair,MOSPI Field Operations,14,Machine Learning Basics,Technical,73.7,5,3,beginner,minor,400,2026-06-08
127,25,Rajiv Mishra,DGET,17,Data Privacy & PDPB,Digital Governance,81.3,8,7,advanced,minor,732,2026-04-03
128,25,Rajiv Mishra,DGET,15,Cloud Computing,Technical,60.4,7,5,advanced,moderate,1123,2026-04-10
129,25,Rajiv Mishra,DGET,5,National Accounts,Statistics,56.8,7,3,advanced,moderate,344,2026-05-18
130,25,Rajiv Mishra,DGET,22,Change Management,Behavioural,98.5,9,6,advanced,proficient,174,2026-04-02
131,25,Rajiv Mishra,DGET,20,Project Management,Behavioural,20.6,9,1,beginner,critical,225,2026-04-05
132,25,Rajiv Mishra,DGET,11,SQL & Databases,Technical,74.5,8,4,advanced,minor,898,2026-07-26
133,26,Rekha Yadav,CRS,8,SDG Indicators,Statistics,58.0,6,4,advanced,moderate,1085,2026-08-17
134,26,Rekha Yadav,CRS,2,Survey Design,Statistics,83.3,10,4,advanced,minor,544,2026-04-11
135,26,Rekha Yadav,CRS,19,Leadership,Behavioural,62.2,9,4,intermediate,moderate,474,2026-05-07
136,26,Rekha Yadav,CRS,4,Data Analysis,Statistics,97.8,9,6,advanced,proficient,845,2026-03-12
137,26,Rekha Yadav,CRS,7,Labour Statistics,Statistics,78.2,10,7,intermediate,minor,1111,2026-07-14
138,26,Rekha Yadav,CRS,1,Statistical Methods,Statistics,45.7,6,3,advanced,critical,731,2026-07-06
139,26,Rekha Yadav,CRS,15,Cloud Computing,Technical,100.0,7,10,beginner,proficient,1121,2026-06-12
140,26,Rekha Yadav,CRS,6,Price Statistics,Statistics,55.8,8,3,advanced,moderate,680,2026-06-20
141,27,Rajesh Singh,Ministry of Statistics & PI,19,Leadership,Behavioural,10.0,7,0,intermediate,critical,206,2026-06-20
142,27,Rajesh Singh,Ministry of Statistics & PI,22,Change Management,Behavioural,80.0,10,4,intermediate,minor,1025,2026-03-18
143,27,Rajesh Singh,Ministry of Statistics & PI,18,Digital Signatures,Digital Governance,44.6,6,4,intermediate,critical,676,2026-07-28
144,28,Vikram Shah,MOSPI Field Operations,20,Project Management,Behavioural,73.1,6,3,advanced,minor,582,2026-03-22
145,28,Vikram Shah,MOSPI Field Operations,19,Leadership,Behavioural,53.5,7,5,intermediate,moderate,325,2026-03-11
146,28,Vikram Shah,MOSPI Field Operations,8,SDG Indicators,Statistics,60.8,6,3,advanced,moderate,443,2026-05-20
147,29,Girish Yadav,DGET,16,Cybersecurity,Digital Governance,50.3,6,4,advanced,moderate,196,2026-07-19
148,29,Girish Yadav,DGET,22,Change Management,Behavioural,21.2,8,1,beginner,critical,933,2026-04-28
149,29,Girish Yadav,DGET,7,Labour Statistics,Statistics,58.9,7,2,beginner,moderate,731,2026-04-09
150,29,Girish Yadav,DGET,10,R Programming,Technical,74.8,9,3,intermediate,minor,702,2026-05-08
151,29,Girish Yadav,DGET,11,SQL & Databases,Technical,69.7,8,4,advanced,moderate,1078,2026-06-24
152,29,Girish Yadav,DGET,19,Leadership,Behavioural,45.7,6,2,intermediate,critical,452,2026-05-07
153,29,Girish Yadav,DGET,2,Survey Design,Statistics,30.1,5,3,intermediate,critical,724,2026-04-09
154,29,Girish Yadav,DGET,15,Cloud Computing,Technical,24.2,10,1,beginner,critical,950,2026-05-15
155,30,Ramesh Srivastava,Ministry of Finance,11,SQL & Databases,Technical,73.5,7,5,beginner,minor,1034,2026-06-25
156,30,Ramesh Srivastava,Ministry of Finance,3,Sampling Techniques,Statistics,91.8,7,6,advanced,proficient,143,2026-06-27
157,30,Ramesh Srivastava,Ministry of Finance,13,Data Visualization,Technical,63.9,5,6,beginner,moderate,1073,2026-06-15
158,30,Ramesh Srivastava,Ministry of Finance,4,Data Analysis,Statistics,56.9,6,4,advanced,moderate,1149,2026-06-14
159,30,Ramesh Srivastava,Ministry of Finance,6,Price Statistics,Statistics,70.2,7,4,advanced,minor,572,2026-07-07
160,30,Ramesh Srivastava,Ministry of Finance,5,National Accounts,Statistics,55.7,6,4,beginner,moderate,1051,2026-03-30
161,30,Ramesh Srivastava,Ministry of Finance,16,Cybersecurity,Digital Governance,60.0,8,5,advanced,moderate,567,2026-06-30
162,31,Shobha Pandey,CSO,20,Project Management,Behavioural,72.6,9,3,beginner,minor,1155,2026-07-12
163,31,Shobha Pandey,CSO,3,Sampling Techniques,Statistics,43.4,7,3,intermediate,critical,358,2026-03-11
164,31,Shobha Pandey,CSO,17,Data Privacy & PDPB,Digital Governance,48.1,6,4,advanced,critical,1121,2026-08-09
165,31,Shobha Pandey,CSO,15,Cloud Computing,Technical,68.3,5,5,beginner,moderate,1171,2026-05-18
166,31,Shobha Pandey,CSO,22,Change Management,Behavioural,41.0,8,3,beginner,critical,1066,2026-03-13
167,31,Shobha Pandey,CSO,12,GIS & Mapping,Technical,62.7,8,4,beginner,moderate,566,2026-04-06
168,31,Shobha Pandey,CSO,21,Communication Skills,Behavioural,25.6,5,1,intermediate,critical,825,2026-03-06
169,31,Shobha Pandey,CSO,19,Leadership,Behavioural,100.0,5,8,beginner,proficient,707,2026-05-20
170,32,Asha Verma,Ministry of Finance,5,National Accounts,Statistics,100.0,8,8,intermediate,proficient,889,2026-08-12
171,32,Asha Verma,Ministry of Finance,21,Communication Skills,Behavioural,74.1,9,4,advanced,minor,832,2026-08-02
172,32,Asha Verma,Ministry of Finance,14,Machine Learning Basics,Technical,60.8,6,5,intermediate,moderate,380,2026-07-06
173,32,Asha Verma,Ministry of Finance,12,GIS & Mapping,Technical,100.0,7,8,advanced,proficient,988,2026-04-18
174,33,Suresh Sharma,NITI Aayog,8,SDG Indicators,Statistics,19.4,6,1,beginner,critical,185,2026-03-16
175,33,Suresh Sharma,NITI Aayog,22,Change Management,Behavioural,18.6,5,1,beginner,critical,257,2026-08-07
176,33,Suresh Sharma,NITI Aayog,15,Cloud Computing,Technical,60.3,9,3,intermediate,moderate,219,2026-07-01
177,33,Suresh Sharma,NITI Aayog,12,GIS & Mapping,Technical,44.3,6,3,beginner,critical,235,2026-07-28
178,33,Suresh Sharma,NITI Aayog,5,National Accounts,Statistics,27.2,9,1,beginner,critical,773,2026-04-07
179,33,Suresh Sharma,NITI Aayog,9,Python Programming,Technical,23.4,7,1,intermediate,critical,413,2026-03-16
180,34,Dinesh Mehta,CSO,8,SDG Indicators,Statistics,69.5,9,5,beginner,moderate,825,2026-03-21
181,34,Dinesh Mehta,CSO,14,Machine Learning Basics,Technical,70.0,7,7,intermediate,minor,956,2026-07-25
182,34,Dinesh Mehta,CSO,10,R Programming,Technical,57.2,7,4,beginner,moderate,1089,2026-07-02
183,34,Dinesh Mehta,CSO,9,Python Programming,Technical,93.9,10,5,intermediate,proficient,238,2026-04-11
184,34,Dinesh Mehta,CSO,2,Survey Design,Statistics,72.6,8,5,advanced,minor,394,2026-05-25
185,34,Dinesh Mehta,CSO,6,Price Statistics,Statistics,85.5,10,4,intermediate,proficient,879,2026-08-09
186,34,Dinesh Mehta,CSO,21,Communication Skills,Behavioural,97.1,9,9,beginner,proficient,225,2026-06-25
187,35,Naresh Kumar,MOSPI Field Operations,22,Change Management,Behavioural,66.1,10,5,beginner,moderate,1101,2026-07-10
188,35,Naresh Kumar,MOSPI Field Operations,20,Project Management,Behavioural,35.4,7,2,beginner,critical,553,2026-07-15
189,35,Naresh Kumar,MOSPI Field Operations,21,Communication Skills,Behavioural,66.7,8,4,advanced,moderate,538,2026-05-23
190,35,Naresh Kumar,MOSPI Field Operations,2,Survey Design,Statistics,55.9,6,5,intermediate,moderate,699,2026-05-27
191,35,Naresh Kumar,MOSPI Field Operations,3,Sampling Techniques,Statistics,32.5,7,2,intermediate,critical,1170,2026-04-27
192,35,Naresh Kumar,MOSPI Field Operations,7,Labour Statistics,Statistics,63.5,8,3,advanced,moderate,1081,2026-06-12
193,36,Radha Patel,MOSPI Field Operations,12,GIS & Mapping,Technical,31.8,6,1,intermediate,critical,975,2026-06-18
194,36,Radha Patel,MOSPI Field Operations,11,SQL & Databases,Technical,38.7,6,2,intermediate,critical,591,2026-05-27
195,36,Radha Patel,MOSPI Field Operations,14,Machine Learning Basics,Technical,31.4,9,3,advanced,critical,811,2026-06-28
196,36,Radha Patel,MOSPI Field Operations,2,Survey Design,Statistics,37.9,8,3,advanced,critical,1124,2026-05-07
197,37,Sunita Sharma,Ministry of Finance,12,GIS & Mapping,Technical,45.0,9,4,beginner,critical,1193,2026-08-24
198,37,Sunita Sharma,Ministry of Finance,6,Price Statistics,Statistics,87.9,5,8,beginner,proficient,133,2026-05-19
199,37,Sunita Sharma,Ministry of Finance,5,National Accounts,Statistics,100.0,5,10,beginner,proficient,138,2026-07-08
200,37,Sunita Sharma,Ministry of Finance,18,Digital Signatures,Digital Governance,100.0,9,8,intermediate,proficient,243,2026-03-27
201,38,Mukesh Singh,National Statistical Office,22,Change Management,Behavioural,74.1,9,5,beginner,minor,1148,2026-03-07
202,38,Mukesh Singh,National Statistical Office,20,Project Management,Behavioural,48.4,10,3,beginner,critical,339,2026-08-08
203,38,Mukesh Singh,National Statistical Office,16,Cybersecurity,Digital Governance,32.2,9,2,intermediate,critical,845,2026-06-25
204,38,Mukesh Singh,National Statistical Office,21,Communication Skills,Behavioural,43.4,8,2,intermediate,critical,951,2026-05-07
205,38,Mukesh Singh,National Statistical Office,1,Statistical Methods,Statistics,10.0,6,0,advanced,critical,285,2026-03-18
206,38,Mukesh Singh,National Statistical Office,18,Digital Signatures,Digital Governance,23.6,10,1,beginner,critical,950,2026-05-27
207,38,Mukesh Singh,National Statistical Office,14,Machine Learning Basics,Technical,30.7,10,1,advanced,critical,470,2026-08-11
208,38,Mukesh Singh,National Statistical Office,17,Data Privacy & PDPB,Digital Governance,59.7,8,4,advanced,moderate,798,2026-04-10
209,39,Kavita Pillai,Ministry of Agriculture,17,Data Privacy & PDPB,Digital Governance,52.3,9,4,intermediate,moderate,215,2026-08-13
210,39,Kavita Pillai,Ministry of Agriculture,2,Survey Design,Statistics,78.8,10,5,advanced,minor,187,2026-07-18
211,39,Kavita Pillai,Ministry of Agriculture,8,SDG Indicators,Statistics,57.7,6,5,beginner,moderate,935,2026-08-13
212,40,Sunita Pandey,CSO,6,Price Statistics,Statistics,47.6,9,3,intermediate,critical,406,2026-03-09
213,40,Sunita Pandey,CSO,19,Leadership,Behavioural,51.0,7,2,beginner,moderate,1015,2026-07-04
214,40,Sunita Pandey,CSO,8,SDG Indicators,Statistics,33.5,5,2,advanced,critical,932,2026-06-10
215,40,Sunita Pandey,CSO,13,Data Visualization,Technical,68.5,8,5,beginner,moderate,848,2026-04-13
216,40,Sunita Pandey,CSO,22,Change Management,Behavioural,57.1,8,4,beginner,moderate,898,2026-08-11
217,41,Ravi Tiwari,CRS,10,R Programming,Technical,35.7,10,2,intermediate,critical,858,2026-08-05
218,41,Ravi Tiwari,CRS,8,SDG Indicators,Statistics,17.0,5,0,intermediate,critical,1030,2026-06-01
219,41,Ravi Tiwari,CRS,3,Sampling Techniques,Statistics,42.4,5,2,intermediate,critical,1039,2026-04-12
220,41,Ravi Tiwari,CRS,20,Project Management,Behavioural,33.5,9,3,intermediate,critical,331,2026-08-26
221,41,Ravi Tiwari,CRS,9,Python Programming,Technical,61.1,9,5,intermediate,moderate,908,2026-08-29
222,41,Ravi Tiwari,CRS,5,National Accounts,Statistics,54.0,7,4,intermediate,moderate,293,2026-04-11
223,41,Ravi Tiwari,CRS,13,Data Visualization,Technical,83.0,9,7,beginner,minor,899,2026-07-20
224,42,Suresh Singh,CSO,9,Python Programming,Technical,28.3,5,1,intermediate,critical,685,2026-05-17
225,42,Suresh Singh,CSO,10,R Programming,Technical,46.5,7,3,beginner,critical,1135,2026-04-02
226,42,Suresh Singh,CSO,16,Cybersecurity,Digital Governance,86.1,9,5,intermediate,proficient,339,2026-07-29
227,42,Suresh Singh,CSO,5,National Accounts,Statistics,41.4,7,3,intermediate,critical,794,2026-05-12
228,43,Vikram Yadav,MOSPI Field Operations,14,Machine Learning Basics,Technical,100.0,7,9,advanced,proficient,531,2026-05-02
229,43,Vikram Yadav,MOSPI Field Operations,21,Communication Skills,Behavioural,48.7,7,3,advanced,critical,1125,2026-04-07
230,43,Vikram Yadav,MOSPI Field Operations,20,Project Management,Behavioural,100.0,6,7,intermediate,proficient,694,2026-05-24
231,43,Vikram Yadav,MOSPI Field Operations,5,National Accounts,Statistics,39.4,6,3,advanced,critical,488,2026-03-11
232,43,Vikram Yadav,MOSPI Field Operations,10,R Programming,Technical,98.3,9,4,advanced,proficient,1065,2026-07-10
