enrollment_id,user_id,user_name,department,course_id,course_title,competency_name,difficulty,duration_hours,status,progress_pct,igot_course_id,enrolled_date,completed_date
22,6,Geeta Patel,CRS,59,PMP for Government Projects,Project Management,intermediate,6.9,completed,100.0,IGOT-20-059,2026-08-03,2026-08-22
23,6,Geeta Patel,CRS,41,Applied Machine Learning,Machine Learning Basics,intermediate,3.1,completed,100.0,IGOT-14-041,2026-03-25,2026-08-05
24,6,Geeta Patel,CRS,2,Inferential Statistics & Hypothesis Testing,Statistical Methods,intermediate,6.6,completed,100.0,IGOT-01-002,2026-07-12,2026-08-15
25,6,Geeta Patel,CRS,1,Introduction to Statistical Methods,Statistical Methods,beginner,6.9,completed,100.0,IGOT-01-001,2026-06-29,2026-08-24
26,6,Geeta Patel,CRS,44,Government Cloud Platforms,Cloud Computing,intermediate,7.9,completed,100.0,IGOT-15-044,2026-03-25,2026-08-22
27,6,Geeta Patel,CRS,14,GDP Compilation Methodology,National Accounts,intermediate,5.1,completed,100.0,IGOT-05-014,2026-07-12,2026-08-17
28,6,Geeta Patel,CRS,25,Python for Beginners,Python Programming,beginner,7.0,completed,100.0,IGOT-09-025,2026-07-06,2026-08-19
29,7,Ramesh Agarwal,MOSPI Field Operations,48,Advanced Cyber Defence,Cybersecurity,advanced,6.8,in_progress,93.1,IGOT-16-048,2026-03-06,
30,7,Ramesh Agarwal,MOSPI Field Operations,47,Information Security Management,Cybersecurity,intermediate,2.0,in_progress,78.3,IGOT-16-047,2026-02-25,
31,7,Ramesh Agarwal,MOSPI Field Operations,52,Digital Signatures Basics,Digital Signatures,beginner,5.2,completed,100.0,IGOT-18-052,2026-06-29,2026-08-15
32,7,Ramesh Agarwal,MOSPI Field Operations,18,Advanced Price Statistics,Price Statistics,advanced,3.5,completed,100.0,IGOT-06-018,2026-05-23,2026-08-26
33,7,Ramesh Agarwal,MOSPI Field Operations,29,Statistical Analysis with R,R Programming,intermediate,4.0,in_progress,77.0,IGOT-10-029,2026-02-20,
34,7,Ramesh Agarwal,MOSPI Field Operations,12,Advanced Data Analytics,Data Analysis,advanced,5.6,in_progress,47.6,IGOT-04-012,2026-08-26,
35,7,Ramesh Agarwal,MOSPI Field Operations,37,Data Visualization Basics,Data Visualization,beginner,5.8,in_progress,42.9,IGOT-13-037,2026-07-25,
36,8,Kavita Saxena,NITI Aayog,41,Applied Machine Learning,Machine Learning Basics,intermediate,3.1,enrolled,40.9,IGOT-14-041,2026-03-05,
37,8,Kavita Saxena,NITI Aayog,63,Advanced Communication,Communication Skills,advanced,6.1,in_progress,10.4,IGOT-21-063,2026-06-24,
38,8,Kavita Saxena,NITI Aayog,39,Advanced Visual Analytics,Data Visualization,advanced,2.3,completed,100.0,IGOT-13-039,2026-03-20,2026-08-29
39,8,Kavita Saxena,NITI Aayog,17,Price Index Methods,Price Statistics,intermediate,6.0,completed,100.0,IGOT-06-017,2026-02-19,2026-08-22
40,8,Kavita Saxena,NITI Aayog,36,Advanced Spatial Analysis,GIS & Mapping,advanced,7.7,completed,100.0,IGOT-12-036,2026-05-28,2026-08-21
41,8,Kavita Saxena,NITI Aayog,55,Leadership in Public Service,Leadership,beginner,6.1,completed,100.0,IGOT-19-055,2026-04-08,2026-08-03
42,8,Kavita Saxena,NITI Aayog,37,Data Visualization Basics,Data Visualization,beginner,5.8,completed,100.0,IGOT-13-037,2026-06-01,2026-09-01
43,9,Vikram Sharma,CSO,16,CPI & WPI Fundamentals,Price Statistics,beginner,3.9,completed,100.0,IGOT-06-016,2026-06-06,2026-08-11
44,9,Vikram Sharma,CSO,45,Advanced Cloud Architecture,Cloud Computing,advanced,3.8,completed,100.0,IGOT-15-045,2026-04-26,2026-08-08
45,9,Vikram Sharma,CSO,26,Python for Data Analysis,Python Programming,intermediate,3.1,completed,100.0,IGOT-09-026,2026-08-08,2026-08-20
46,9,Vikram Sharma,CSO,23,SDG Indicator Compilation,SDG Indicators,intermediate,4.4,completed,100.0,IGOT-08-023,2026-06-16,2026-08-18
47,9,Vikram Sharma,CSO,37,Data Visualization Basics,Data Visualization,beginner,5.8,in_progress,83.1,IGOT-13-037,2026-03-18,
48,10,Naresh Joshi,CRS,54,Advanced Digital Infrastructure,Digital Signatures,advanced,2.7,in_progress,35.9,IGOT-18-054,2026-06-09,
49,10,Naresh Joshi,CRS,52,Digital Signatures Basics,Digital Signatures,beginner,5.2,completed,100.0,IGOT-18-052,2026-03-14,2026-08-23
50,10,Naresh Joshi,CRS,10,Introduction to Data Analysis,Data Analysis,beginner,3.8,completed,100.0,IGOT-04-010,2026-03-27,2026-08-12
51,10,Naresh Joshi,CRS,11,Intermediate Data Analysis with Python,Data Analysis,intermediate,4.4,completed,100.0,IGOT-04-011,2026-06-20,2026-08-04
52,11,Geeta Singh,NSSTA,47,Information Security Management,Cybersecurity,intermediate,2.0,enrolled,16.3,IGOT-16-047,2026-06-29,
53,11,Geeta Singh,NSSTA,58,PM Fundamentals,Project Management,beginner,5.7,completed,100.0,IGOT-20-058,2026-02-19,2026-08-10
54,11,Geeta Singh,NSSTA,53,PKI & e-Authentication,Digital Signatures,intermediate,3.0,enrolled,24.0,IGOT-18-053,2026-05-19,
55,11,Geeta Singh,NSSTA,22,Introduction to SDG Framework,SDG Indicators,beginner,2.2,enrolled,13.6,IGOT-08-022,2026-04-29,
56,11,Geeta Singh,NSSTA,24,Monitoring SDG Progress,SDG Indicators,advanced,7.0,completed,100.0,IGOT-08-024,2026-08-15,2026-09-01
57,12,Pushpa Saxena,NITI Aayog,11,Intermediate Data Analysis with Python,Data Analysis,intermediate,4.4,completed,100.0,IGOT-04-011,2026-07-01,2026-08-25
58,12,Pushpa Saxena,NITI Aayog,14,GDP Compilation Methodology,National Accounts,intermediate,5.1,completed,100.0,IGOT-05-014,2026-05-07,2026-08-12
59,12,Pushpa Saxena,NITI Aayog,34,Introduction to GIS,GIS & Mapping,beginner,6.3,in_progress,16.8,IGOT-12-034,2026-07-16,
60,12,Pushpa Saxena,NITI Aayog,20,Employment & Unemployment Indicators,Labour Statistics,intermediate,5.7,enrolled,8.2,IGOT-07-020,2026-05-29,
61,12,Pushpa Saxena,NITI Aayog,50,PDPB Compliance for Officers,Data Privacy & PDPB,intermediate,6.7,completed,100.0,IGOT-17-050,2026-04-29,2026-08-18
62,13,Sanjay Sharma,DGET,35,QGIS for Government Data,GIS & Mapping,intermediate,5.7,completed,100.0,IGOT-12-035,2026-07-14,2026-08-14
63,13,Sanjay Sharma,DGET,57,Change Leadership,Leadership,advanced,4.3,completed,100.0,IGOT-19-057,2026-05-04,2026-08-12
64,13,Sanjay Sharma,DGET,18,Advanced Price Statistics,Price Statistics,advanced,3.5,completed,100.0,IGOT-06-018,2026-05-09,2026-08-16
65,13,Sanjay Sharma,DGET,63,Advanced Communication,Communication Skills,advanced,6.1,completed,100.0,IGOT-21-063,2026-06-10,2026-08-03
66,13,Sanjay Sharma,DGET,61,Effective Communication,Communication Skills,beginner,4.3,completed,100.0,IGOT-21-061,2026-04-27,2026-08-15
67,13,Sanjay Sharma,DGET,45,Advanced Cloud Architecture,Cloud Computing,advanced,3.8,in_progress,77.4,IGOT-15-045,2026-05-07,
68,14,Vinod Mishra,Ministry of Finance,47,Information Security Management,Cybersecurity,intermediate,2.0,completed,100.0,IGOT-16-047,2026-08-26,2026-09-01
69,14,Vinod Mishra,Ministry of Finance,53,PKI & e-Authentication,Digital Signatures,intermediate,3.0,completed,100.0,IGOT-18-053,2026-02-15,2026-08-05
70,14,Vinod Mishra,Ministry of Finance,34,Introduction to GIS,GIS & Mapping,beginner,6.3,in_progress,35.9,IGOT-12-034,2026-04-30,
71,14,Vinod Mishra,Ministry of Finance,20,Employment & Unemployment Indicators,Labour Statistics,intermediate,5.7,completed,100.0,IGOT-07-020,2026-08-26,2026-08-10
72,15,Manoj Patel,NITI Aayog,62,Presentation & Report Writing,Communication Skills,intermediate,5.9,completed,100.0,IGOT-21-062,2026-06-30,2026-08-07
73,15,Manoj Patel,NITI Aayog,39,Advanced Visual Analytics,Data Visualization,advanced,2.3,enrolled,54.3,IGOT-13-039,2026-07-11,
74,15,Manoj Patel,NITI Aayog,2,Inferential Statistics & Hypothesis Testing,Statistical Methods,intermediate,6.6,completed,100.0,IGOT-01-002,2026-04-07,2026-08-19
75,15,Manoj Patel,NITI Aayog,56,Strategic Leadership,Leadership,intermediate,3.6,completed,100.0,IGOT-19-056,2026-06-26,2026-08-27
76,15,Manoj Patel,NITI Aayog,38,Dashboard Design with Power BI,Data Visualization,intermediate,6.6,completed,100.0,IGOT-13-038,2026-05-24,2026-08-25
77,16,Lata Yadav,NITI Aayog,11,Intermediate Data Analysis with Python,Data Analysis,intermediate,4.4,completed,100.0,IGOT-04-011,2026-03-15,2026-08-09
78,16,Lata Yadav,NITI Aayog,55,Leadership in Public Service,Leadership,beginner,6.1,completed,100.0,IGOT-19-055,2026-06-21,2026-08-19
79,16,Lata Yadav,NITI Aayog,31,SQL Basics,SQL & Databases,beginner,3.9,in_progress,81.8,IGOT-11-031,2026-07-13,
80,16,Lata Yadav,NITI Aayog,35,QGIS for Government Data,GIS & Mapping,intermediate,5.7,in_progress,31.1,IGOT-12-035,2026-03-18,
81,17,Meena Verma,DGET,58,PM Fundamentals,Project Management,beginner,5.7,enrolled,18.7,IGOT-20-058,2026-04-14,
82,17,Meena Verma,DGET,35,QGIS for Government Data,GIS & Mapping,intermediate,5.7,enrolled,21.7,IGOT-12-035,2026-08-02,
83,17,Meena Verma,DGET,63,Advanced Communication,Communication Skills,advanced,6.1,completed,100.0,IGOT-21-063,2026-06-21,2026-08-28
84,17,Meena Verma,DGET,25,Python for Beginners,Python Programming,beginner,7.0,completed,100.0,IGOT-09-025,2026-02-23,2026-09-01
85,17,Meena Verma,DGET,42,Deep Learning Basics,Machine Learning Basics,advanced,2.9,in_progress,13.1,IGOT-14-042,2026-08-25,
86,18,Pushpa Shah,NITI Aayog,28,Introduction to R,R Programming,beginner,5.5,completed,100.0,IGOT-10-028,2026-05-02,2026-08-10
87,18,Pushpa Shah,NITI Aayog,44,Government Cloud Platforms,Cloud Computing,intermediate,7.9,enrolled,34.7,IGOT-15-044,2026-02-17,
88,18,Pushpa Shah,NITI Aayog,54,Advanced Digital Infrastructure,Digital Signatures,advanced,2.7,in_progress,10.0,IGOT-18-054,2026-05-20,
89,18,Pushpa Shah,NITI Aayog,40,ML Fundamentals for Officers,Machine Learning Basics,beginner,3.5,enrolled,53.9,IGOT-14-040,2026-07-13,
90,18,Pushpa Shah,NITI Aayog,64,Change Management Basics,Change Management,beginner,4.2,in_progress,85.6,IGOT-22-064,2026-06-25,
91,19,Geeta Pandey,MOSPI Field Operations,2,Inferential Statistics & Hypothesis Testing,Statistical Methods,intermediate,6.6,in_progress,71.4,IGOT-01-002,2026-08-20,
92,19,Geeta Pandey,MOSPI Field Operations,16,CPI & WPI Fundamentals,Price Statistics,beginner,3.9,in_progress,46.5,IGOT-06-016,2026-08-04,
93,19,Geeta Pandey,MOSPI Field Operations,32,Intermediate SQL & Database Design,SQL & Databases,intermediate,7.8,completed,100.0,IGOT-11-032,2026-03-11,2026-08-26
94,19,Geeta Pandey,MOSPI Field Operations,50,PDPB Compliance for Officers,Data Privacy & PDPB,intermediate,6.7,completed,100.0,IGOT-17-050,2026-05-21,2026-08-11
95,19,Geeta Pandey,MOSPI Field Operations,57,Change Leadership,Leadership,advanced,4.3,completed,100.0,IGOT-19-057,2026-06-07,2026-08-27
96,20,Manoj Shah,NITI Aayog,6,Advanced Survey Methodology,Survey Design,advanced,4.5,completed,100.0,IGOT-02-006,2026-08-15,2026-08-05
97,20,Manoj Shah,NITI Aayog,16,CPI & WPI Fundamentals,Price Statistics,beginner,3.9,in_progress,92.6,IGOT-06-016,2026-06-29,
98,20,Manoj Shah,NITI Aayog,33,Advanced SQL & Performance,SQL & Databases,advanced,7.2,completed,100.0,IGOT-11-033,2026-06-06,2026-09-01
99,20,Manoj Shah,NITI Aayog,31,SQL Basics,SQL & Databases,beginner,3.9,in_progress,76.5,IGOT-11-031,2026-04-01,
100,20,Manoj Shah,NITI Aayog,41,Applied Machine Learning,Machine Learning Basics,intermediate,3.1,enrolled,40.6,IGOT-14-041,2026-06-27,
101,20,Manoj Shah,NITI Aayog,20,Employment & Unemployment Indicators,Labour Statistics,intermediate,5.7,enrolled,92.2,IGOT-07-020,2026-04-02,
102,20,Manoj Shah,NITI Aayog,13,National Accounts Basics,National Accounts,beginner,3.4,completed,100.0,IGOT-05-013,2026-03-05,2026-08-13
103,21,Deepak Patel,NSSTA,48,Advanced Cyber Defence,Cybersecurity,advanced,6.8,in_progress,50.0,IGOT-16-048,2026-03-06,
104,21,Deepak Patel,NSSTA,12,Advanced Data Analytics,Data Analysis,advanced,5.6,completed,100.0,IGOT-04-012,2026-06-03,2026-08-03
105,21,Deepak Patel,NSSTA,32,Intermediate SQL & Database Design,SQL & Databases,intermediate,7.8,enrolled,10.4,IGOT-11-032,2026-03-16,
106,22,Radha Kumar,CRS,14,GDP Compilation Methodology,National Accounts,intermediate,5.1,in_progress,33.5,IGOT-05-014,2026-04-08,
107,22,Radha Kumar,CRS,17,Price Index Methods,Price Statistics,intermediate,6.0,completed,100.0,IGOT-06-017,2026-05-08,2026-08-09
108,22,Radha Kumar,CRS,63,Advanced Communication,Communication Skills,advanced,6.1,in_progress,6.9,IGOT-21-063,2026-05-24,
109,23,Anita Singh,National Statistical Office,18,Advanced Price Statistics,Price Statistics,advanced,3.5,completed,100.0,IGOT-06-018,2026-04-07,2026-08-23
110,23,Anita Singh,National Statistical Office,33,Advanced SQL & Performance,SQL & Databases,advanced,7.2,completed,100.0,IGOT-11-033,2026-03-03,2026-08-17
111,23,Anita Singh,National Statistical Office,6,Advanced Survey Methodology,Survey Design,advanced,4.5,in_progress,56.0,IGOT-02-006,2026-04-11,
112,23,Anita Singh,National Statistical Office,63,Advanced Communication,Communication Skills,advanced,6.1,completed,100.0,IGOT-21-063,2026-06-07,2026-08-09
113,24,Girish Nair,MOSPI Field Operations,36,Advanced Spatial Analysis,GIS & Mapping,advanced,7.7,completed,100.0,IGOT-12-036,2026-06-22,2026-08-15
114,24,Girish Nair,MOSPI Field Operations,21,Advanced Labour Economics,Labour Statistics,advanced,5.3,completed,100.0,IGOT-07-021,2026-05-04,2026-09-01
115,24,Girish Nair,MOSPI Field Operations,9,Advanced Sampling Theory,Sampling Techniques,advanced,2.9,completed,100.0,IGOT-03-009,2026-05-23,2026-08-09
116,24,Girish Nair,MOSPI Field Operations,20,Employment & Unemployment Indicators,Labour Statistics,intermediate,5.7,in_progress,84.5,IGOT-07-020,2026-03-23,
117,24,Girish Nair,MOSPI Field Operations,58,PM Fundamentals,Project Management,beginner,5.7,completed,100.0,IGOT-20-058,2026-03-23,2026-08-25
118,25,Rajiv Mishra,DGET,9,Advanced Sampling Theory,Sampling Techniques,advanced,2.9,completed,100.0,IGOT-03-009,2026-07-20,2026-08-13
119,25,Rajiv Mishra,DGET,50,PDPB Compliance for Officers,Data Privacy & PDPB,intermediate,6.7,completed,100.0,IGOT-17-050,2026-06-07,2026-08-19
120,25,Rajiv Mishra,DGET,25,Python for Beginners,Python Programming,beginner,7.0,completed,100.0,IGOT-09-025,2026-07-31,2026-08-29
121,25,Rajiv Mishra,DGET,64,Change Management Basics,Change Management,beginner,4.2,completed,100.0,IGOT-22-064,2026-03-13,2026-08-30
122,26,Rekha Yadav,CRS,17,Price Index Methods,Price Statistics,intermediate,6.0,enrolled,23.2,IGOT-06-017,2026-04-26,
123,26,Rekha Yadav,CRS,23,SDG Indicator Compilation,SDG Indicators,intermediate,4.4,in_progress,13.9,IGOT-08-023,2026-04-04,
124,27,Rajesh Singh,Ministry of Statistics & PI,50,PDPB Compliance for Officers,Data Privacy & PDPB,intermediate,6.7,enrolled,6.2,IGOT-17-050,2026-07-06,
125,27,Rajesh Singh,Ministry of Statistics & PI,63,Advanced Communication,Communication Skills,advanced,6.1,completed,100.0,IGOT-21-063,2026-08-08,2026-08-18
126,27,Rajesh Singh,Ministry of Statistics & PI,33,Advanced SQL & Performance,SQL & Databases,advanced,7.2,enrolled,37.5,IGOT-11-033,2026-02-19,
127,27,Rajesh Singh,Ministry of Statistics & PI,4,Fundamentals of Survey Design,Survey Design,beginner,7.8,completed,100.0,IGOT-02-004,2026-05-26,2026-08-07
128,27,Rajesh Singh,Ministry of Statistics & PI,24,Monitoring SDG Progress,SDG Indicators,advanced,7.0,enrolled,79.1,IGOT-08-024,2026-06-21,
129,27,Rajesh Singh,Ministry of Statistics & PI,15,Advanced National Accounts,National Accounts,advanced,5.8,completed,100.0,IGOT-05-015,2026-08-18,2026-08-09
130,27,Rajesh Singh,Ministry of Statistics & PI,39,Advanced Visual Analytics,Data Visualization,advanced,2.3,enrolled,80.1,IGOT-13-039,2026-08-09,
131,28,Vikram Shah,MOSPI Field Operations,13,National Accounts Basics,National Accounts,beginner,3.4,in_progress,22.4,IGOT-05-013,2026-03-13,
132,28,Vikram Shah,MOSPI Field Operations,30,Advanced R & Visualization,R Programming,advanced,3.4,in_progress,56.3,IGOT-10-030,2026-07-14,
133,28,Vikram Shah,MOSPI Field Operations,50,PDPB Compliance for Officers,Data Privacy & PDPB,intermediate,6.7,completed,100.0,IGOT-17-050,2026-02-18,2026-08-15
134,29,Girish Yadav,DGET,14,GDP Compilation Methodology,National Accounts,intermediate,5.1,in_progress,54.5,IGOT-05-014,2026-04-21,
135,29,Girish Yadav,DGET,46,Cybersecurity Awareness,Cybersecurity,beginner,4.2,completed,100.0,IGOT-16-046,2026-03-13,2026-08-27
136,29,Girish Yadav,DGET,59,PMP for Government Projects,Project Management,intermediate,6.9,completed,100.0,IGOT-20-059,2026-03-28,2026-08-18
137,29,Girish Yadav,DGET,55,Leadership in Public Service,Leadership,beginner,6.1,completed,100.0,IGOT-19-055,2026-06-09,2026-08-15
138,29,Girish Yadav,DGET,22,Introduction to SDG Framework,SDG Indicators,beginner,2.2,completed,100.0,IGOT-08-022,2026-05-25,2026-08-19
139,30,Ramesh Srivastava,Ministry of Finance,56,Strategic Leadership,Leadership,intermediate,3.6,completed,100.0,IGOT-19-056,2026-02-19,2026-08-24
140,30,Ramesh Srivastava,Ministry of Finance,42,Deep Learning Basics,Machine Learning Basics,advanced,2.9,completed,100.0,IGOT-14-042,2026-05-05,2026-08-18
141,30,Ramesh Srivastava,Ministry of Finance,31,SQL Basics,SQL & Databases,beginner,3.9,completed,100.0,IGOT-11-031,2026-08-28,2026-08-09
142,30,Ramesh Srivastava,Ministry of Finance,37,Data Visualization Basics,Data Visualization,beginner,5.8,enrolled,93.5,IGOT-13-037,2026-03-29,
143,30,Ramesh Srivastava,Ministry of Finance,35,QGIS for Government Data,GIS & Mapping,intermediate,5.7,enrolled,51.6,IGOT-12-035,2026-06-12,
144,30,Ramesh Srivastava,Ministry of Finance,14,GDP Compilation Methodology,National Accounts,intermediate,5.1,enrolled,32.0,IGOT-05-014,2026-07-03,
145,30,Ramesh Srivastava,Ministry of Finance,25,Python for Beginners,Python Programming,beginner,7.0,in_progress,82.0,IGOT-09-025,2026-08-23,
146,31,Shobha Pandey,CSO,36,Advanced Spatial Analysis,GIS & Mapping,advanced,7.7,in_progress,28.8,IGOT-12-036,2026-04-01,
147,31,Shobha Pandey,CSO,20,Employment & Unemployment Indicators,Labour Statistics,intermediate,5.7,in_progress,26.0,IGOT-07-020,2026-06-13,
148,31,Shobha Pandey,CSO,13,National Accounts Basics,National Accounts,beginner,3.4,enrolled,56.3,IGOT-05-013,2026-04-05,
149,31,Shobha Pandey,CSO,3,Advanced Regression Analysis,Statistical Methods,advanced,7.2,in_progress,71.1,IGOT-01-003,2026-02-24,
150,31,Shobha Pandey,CSO,30,Advanced R & Visualization,R Programming,advanced,3.4,completed,100.0,IGOT-10-030,2026-04-27,2026-08-27
151,31,Shobha Pandey,CSO,23,SDG Indicator Compilation,SDG Indicators,intermediate,4.4,completed,100.0,IGOT-08-023,2026-03-05,2026-08-10
152,31,Shobha Pandey,CSO,10,Introduction to Data Analysis,Data Analysis,beginner,3.8,completed,100.0,IGOT-04-010,2026-08-04,2026-08-13
153,32,Asha Verma,Ministry of Finance,39,Advanced Visual Analytics,Data Visualization,advanced,2.3,completed,100.0,IGOT-13-039,2026-05-31,2026-08-04
154,32,Asha Verma,Ministry of Finance,5,Sampling & Questionnaire Design,Survey Design,intermediate,2.5,completed,100.0,IGOT-02-005,2026-05-14,2026-08-03
155,32,Asha Verma,Ministry of Finance,49,Data Privacy Fundamentals,Data Privacy & PDPB,beginner,6.5,enrolled,83.3,IGOT-17-049,2026-07-01,
156,32,Asha Verma,Ministry of Finance,6,Advanced Survey Methodology,Survey Design,advanced,4.5,completed,100.0,IGOT-02-006,2026-08-26,2026-08-12
157,32,Asha Verma,Ministry of Finance,50,PDPB Compliance for Officers,Data Privacy & PDPB,intermediate,6.7,completed,100.0,IGOT-17-050,2026-08-15,2026-08-23
158,32,Asha Verma,Ministry of Finance,4,Fundamentals of Survey Design,Survey Design,beginner,7.8,completed,100.0,IGOT-02-004,2026-08-18,2026-08-22
159,32,Asha Verma,Ministry of Finance,59,PMP for Government Projects,Project Management,intermediate,6.9,completed,100.0,IGOT-20-059,2026-04-06,2026-08-28
160,33,Suresh Sharma,NITI Aayog,65,Leading Organizational Change,Change Management,intermediate,4.4,completed,100.0,IGOT-22-065,2026-05-06,2026-08-08
161,33,Suresh Sharma,NITI Aayog,29,Statistical Analysis with R,R Programming,intermediate,4.0,completed,100.0,IGOT-10-029,2026-04-03,2026-08-16
162,33,Suresh Sharma,NITI Aayog,20,Employment & Unemployment Indicators,Labour Statistics,intermediate,5.7,enrolled,25.0,IGOT-07-020,2026-06-15,
163,33,Suresh Sharma,NITI Aayog,7,Probability Sampling Basics,Sampling Techniques,beginner,3.7,completed,100.0,IGOT-03-007,2026-07-22,2026-08-28
164,34,Dinesh Mehta,CSO,11,Intermediate Data Analysis with Python,Data Analysis,intermediate,4.4,completed,100.0,IGOT-04-011,2026-08-07,2026-08-20
165,34,Dinesh Mehta,CSO,61,Effective Communication,Communication Skills,beginner,4.3,completed,100.0,IGOT-21-061,2026-05-09,2026-08-08
166,34,Dinesh Mehta,CSO,7,Probability Sampling Basics,Sampling Techniques,beginner,3.7,in_progress,73.6,IGOT-03-007,2026-04-27,
167,34,Dinesh Mehta,CSO,52,Digital Signatures Basics,Digital Signatures,beginner,5.2,completed,100.0,IGOT-18-052,2026-07-09,2026-08-17
168,35,Naresh Kumar,MOSPI Field Operations,26,Python for Data Analysis,Python Programming,intermediate,3.1,completed,100.0,IGOT-09-026,2026-03-06,2026-08-03
169,35,Naresh Kumar,MOSPI Field Operations,32,Intermediate SQL & Database Design,SQL & Databases,intermediate,7.8,completed,100.0,IGOT-11-032,2026-08-06,2026-08-29
170,35,Naresh Kumar,MOSPI Field Operations,10,Introduction to Data Analysis,Data Analysis,beginner,3.8,completed,100.0,IGOT-04-010,2026-05-12,2026-08-21
171,35,Naresh Kumar,MOSPI Field Operations,35,QGIS for Government Data,GIS & Mapping,intermediate,5.7,completed,100.0,IGOT-12-035,2026-07-11,2026-08-22
172,35,Naresh Kumar,MOSPI Field Operations,56,Strategic Leadership,Leadership,intermediate,3.6,completed,100.0,IGOT-19-056,2026-03-29,2026-08-12
173,36,Radha Patel,MOSPI Field Operations,40,ML Fundamentals for Officers,Machine Learning Basics,beginner,3.5,completed,100.0,IGOT-14-040,2026-03-24,2026-08-06
174,36,Radha Patel,MOSPI Field Operations,22,Introduction to SDG Framework,SDG Indicators,beginner,2.2,completed,100.0,IGOT-08-022,2026-03-22,2026-08-28
175,37,Sunita Sharma,Ministry of Finance,6,Advanced Survey Methodology,Survey Design,advanced,4.5,enrolled,15.1,IGOT-02-006,2026-08-15,
176,37,Sunita Sharma,Ministry of Finance,30,Advanced R & Visualization,R Programming,advanced,3.4,in_progress,90.4,IGOT-10-030,2026-07-22,
177,37,Sunita Sharma,Ministry of Finance,26,Python for Data Analysis,Python Programming,intermediate,3.1,completed,100.0,IGOT-09-026,2026-08-25,2026-08-22
178,37,Sunita Sharma,Ministry of Finance,48,Advanced Cyber Defence,Cybersecurity,advanced,6.8,enrolled,32.5,IGOT-16-048,2026-04-30,
